"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","63 Years",29150,30950
" ","64 Years",28540,30410
" ","65 Years",27220,29260
" ","66 Years",26330,28310
" ","67 Years",25580,27350
" ","68 Years",24500,26430
" ","69 Years",23770,25440
" ","70 Years",22850,24390
" ","71 Years",22150,23600
" ","72 Years",21470,22620
" ","73 Years",20840,22400
" ","74 Years",20270,21400
" ","75 Years",19730,21490
" ","76 Years",19100,20830
" ","77 Years",15640,17370
" ","78 Years",14300,15990
" ","79 Years",13260,14710
" ","80 Years",11070,12820
" ","81 Years",11730,13880
" ","82 Years",10750,12920
" ","83 Years",9280,11440
" ","84 Years",7860,9950
" ","85 Years",6780,8910
" ","86 Years",5770,7770
" ","87 Years",4870,6820
" ","88 Years",4260,5960
" ","89 Years",3560,5300
" ","90 Years",2860,4560
" ","91 Years",2320,3890
" ","92 Years",2000,3250
" ","93 Years",1520,2750
" ","94 Years",1150,2220
" ","0-4 Years",154760,147610
" ","5-9 Years",166510,157650
" ","10-14 Years",176530,167460
" ","15-19 Years",167870,159420
" ","20-24 Years",168400,157570
" ","25-29 Years",183450,174920
" ","30-34 Years",205500,202220
" ","35-39 Years",185780,184590
" ","40-44 Years",167550,166650
" ","45-49 Years",155300,158340
" ","50-54 Years",164920,171860
" ","55-59 Years",154450,163060
" ","60-64 Years",150610,161080
" ","65-69 Years",127390,136790
" ","70-74 Years",107580,114400
" ","75-79 Years",82020,90390
" ","80-84 Years",50680,61020
" ","85-89 Years",25230,34760
" ","Under 15 Years",497800,472700
" ","Under 16 Years",533300,506400
" ","Under 18 Years",601000,570700
" ","Under 20 Years",665700,632100
" ","15-39 Years",911000,878700
" ","15-49 Years",1233900,1203700
" ","15-59 Years",1553200,1538600
" ","40-64 Years",792800,821000
" ","15-64 Years",1703800,1699700
" ","15 Years and Over",2109100,2159600
" ","16 Years and Over",2073600,2126000
" ","18 Years and Over",2005900,2061600
" ","20 Years and Over",1941200,2000200
" ","90-94 Years",9850,16660
" ","60 Years and Over",555900,621000
" ","65 Years and Over",405300,459900
" ","75 Years and Over",170300,208700
" ","80 Years and Over",88300,118300
" ","85 Years and Over",37600,57300
" ","90 Years and Over",12370,22540
" ","95 Years and Over",2520,5890
" ","Median Age (Years)",37.1,39.0
" ","Total All Ages",2606900,2632300
"2023Q3","0 Years",29260,27610
" ","1 Years",30180,29430
" ","2 Years",31890,30380
" ","3 Years",31190,29650
" ","4 Years",32230,30660
" ","5 Years",32490,30640
" ","6 Years",33040,31420
" ","7 Years",33770,31950
" ","8 Years",33810,32130
" ","9 Years",34170,32160
" ","10 Years",34540,32990
" ","11 Years",35340,33750
" ","12 Years",35550,33740
" ","13 Years",36110,34270
" ","14 Years",35890,33500
" ","15 Years",35870,34010
" ","16 Years",35450,33640
" ","17 Years",33560,31890
" ","18 Years",32480,30990
" ","19 Years",32980,31100
" ","20 Years",33090,30850
" ","21 Years",33200,31100
" ","22 Years",33970,32000
" ","23 Years",35470,32430
" ","24 Years",34360,32280
" ","25 Years",35180,32920
" ","26 Years",35710,34100
" ","27 Years",36970,35010
" ","28 Years",38050,36460
" ","29 Years",38620,37650
" ","30 Years",40240,39550
" ","31 Years",42310,41050
" ","32 Years",42230,41870
" ","33 Years",42390,41950
" ","34 Years",40930,40330
" ","35 Years",40270,40150
" ","36 Years",39430,38490
" ","37 Years",37440,37070
" ","38 Years",36600,36480
" ","39 Years",35900,35830
" ","40 Years",35410,35140
" ","41 Years",34970,34600
" ","42 Years",33890,33710
" ","43 Years",33420,33090
" ","44 Years",32580,32260
" ","45 Years",31150,31600
" ","46 Years",31050,31400
" ","47 Years",31010,30890
" ","48 Years",30940,32010
" ","49 Years",31790,32730
" ","50 Years",32320,33720
" ","51 Years",33770,34800
" ","52 Years",33640,35430
" ","53 Years",32610,34190
" ","54 Years",32470,34150
" ","55 Years",31630,33300
" ","56 Years",30860,32480
" ","57 Years",30380,32030
" ","58 Years",30440,32390
" ","59 Years",31190,32900
" ","60 Years",31530,34010
" ","61 Years",31280,33440
" ","62 Years",30450,32890
" ","63 Years",29410,31290
" ","64 Years",28570,30490
" ","65 Years",27470,29480
" ","66 Years",26660,28670
" ","67 Years",25770,27560
" ","68 Years",24720,26770
" ","69 Years",24020,25570
" ","70 Years",22800,24610
" ","71 Years",22380,23820
" ","72 Years",21540,22700
" ","73 Years",20750,22500
" ","74 Years",20440,21480
" ","75 Years",19610,21370
" ","76 Years",19370,21100
" ","77 Years",16210,17950
" ","78 Years",14560,16380
" ","79 Years",13280,14780
" ","80 Years",11270,13030
" ","81 Years",11600,13560
" ","82 Years",10790,13060
" ","83 Years",9520,11750
" ","84 Years",8030,10080
" ","85 Years",6920,9130
" ","86 Years",5790,7860
" ","87 Years",4970,6950
" ","88 Years",4200,5880
" ","89 Years",3640,5330
" ","90 Years",2830,4630
" ","91 Years",2310,3870
" ","92 Years",1950,3160
" ","93 Years",1550,2780
" ","94 Years",1100,2180
" ","0-4 Years",154750,147730
" ","5-9 Years",167280,158300
" ","10-14 Years",177420,168250
" ","15-19 Years",170340,161630
" ","20-24 Years",170080,158660
" ","25-29 Years",184540,176140
" ","30-34 Years",208100,204760
" ","35-39 Years",189630,188020
" ","40-44 Years",170270,168800
" ","45-49 Years",155930,158630
" ","50-54 Years",164810,172300
" ","55-59 Years",154490,163110
" ","60-64 Years",151240,162130
" ","65-69 Years",128640,138050
" ","70-74 Years",107910,115110
" ","75-79 Years",83040,91580
" ","80-84 Years",51200,61480
" ","85-89 Years",25530,35160
" ","Under 15 Years",499400,474300
" ","Under 16 Years",535300,508300
" ","Under 18 Years",604300,573800
" ","Under 20 Years",669800,635900
" ","15-39 Years",922700,889200
" ","15-49 Years",1248900,1216600
" ","15-59 Years",1568200,1552000
" ","40-64 Years",796700,825000
" ","15-64 Years",1719400,1714200
" ","15 Years and Over",2128100,2178100
" ","16 Years and Over",2092200,2144100
" ","18 Years and Over",2023200,2078500
" ","20 Years and Over",1957700,2016500
" ","90-94 Years",9740,16610
" ","60 Years and Over",559900,626000
" ","65 Years and Over",408600,463900
" ","75 Years and Over",172100,210700
" ","80 Years and Over",89000,119200
" ","85 Years and Over",37800,57700
" ","90 Years and Over",12300,22520
" ","95 Years and Over",2560,5910
" ","Median Age (Years)",37.0,39.0
" ","Total All Ages",2627500,2652400
"2023Q4","0 Years",29350,27580
" ","1 Years",29790,28620
" ","2 Years",32270,31040
" ","3 Years",31250,29610
" ","4 Years",32280,30860
" ","5 Years",32260,30530
" ","6 Years",33120,31590
" ","7 Years",33810,31960
" ","8 Years",33750,31950
" ","9 Years",34290,32320
" ","10 Years",34190,32580
" ","11 Years",35730,34290
" ","12 Years",35350,33490
" ","13 Years",36080,34280
" ","14 Years",35910,33650
" ","15 Years",36040,33880
" ","16 Years",35630,33850
" ","17 Years",33780,32140
" ","18 Years",32770,31090
" ","19 Years",32820,30830
" ","20 Years",32990,30740
" ","21 Years",33020,30650
" ","22 Years",33860,31700
" ","23 Years",35620,32750
" ","24 Years",34670,32550
" ","25 Years",35060,32790
" ","26 Years",35910,34240
" ","27 Years",36890,35490
" ","28 Years",38250,36500
" ","29 Years",38710,37800
" ","30 Years",40270,39410
" ","31 Years",42240,41360
" ","32 Years",42510,41890
" ","33 Years",42860,42370
" ","34 Years",41780,41190
" ","35 Years",40660,40570
" ","36 Years",40060,39370
" ","37 Years",38230,37510
" ","38 Years",36950,36810
" ","39 Years",36340,36160
" ","40 Years",35810,35370
" ","41 Years",35490,35260
" ","42 Years",34130,33710
" ","43 Years",33720,33360
" ","44 Years",33010,32540
" ","45 Years",31560,31960
" ","46 Years",30920,31350
" ","47 Years",31150,31050
" ","48 Years",30890,31500
" ","49 Years",31660,32620
" ","50 Years",32050,33500
" ","51 Years",33700,34670
" ","52 Years",33560,35260
" ","53 Years",32920,34730
" ","54 Years",32490,34150
" ","55 Years",31980,33830
" ","56 Years",30960,32570
" ","57 Years",30460,32060
" ","58 Years",30530,32260
" ","59 Years",31020,33200
" ","60 Years",31460,33870
" ","61 Years",31570,33860
" ","62 Years",30590,32990
" ","63 Years",29850,32040
" ","64 Years",28590,30590
" ","65 Years",27860,29800
" ","66 Years",26860,29110
" ","67 Years",26180,27790
" ","68 Years",24920,26930
" ","69 Years",24260,25830
" ","70 Years",22820,24790
" ","71 Years",22550,24270
" ","72 Years",21730,22630
" ","73 Years",20890,22840
" ","74 Years",20570,21500
" ","75 Years",19730,21400
" ","76 Years",19200,21090
" ","77 Years",17360,19000
" ","78 Years",14670,16700
" ","79 Years",13460,15060
" ","80 Years",11700,13330
" ","81 Years",11190,13200
" ","82 Years",10880,13140
" ","83 Years",9700,11940
" ","84 Years",8220,10420
" ","85 Years",7010,9170
" ","86 Years",5990,8060
" ","87 Years",5020,7110
" ","88 Years",4100,5870
" ","89 Years",3770,5420
" ","90 Years",2870,4540
" ","91 Years",2270,3870
" ","92 Years",1920,3250
" ","93 Years",1550,2730
" ","94 Years",1120,2160
" ","0-4 Years",154940,147710
" ","5-9 Years",167230,158350
" ","10-14 Years",177270,168290
" ","15-19 Years",171050,161800
" ","20-24 Years",170150,158390
" ","25-29 Years",184830,176810
" ","30-34 Years",209660,206230
" ","35-39 Years",192240,190420
" ","40-44 Years",172170,170240
" ","45-49 Years",156180,158470
" ","50-54 Years",164720,172300
" ","55-59 Years",154940,163930
" ","60-64 Years",152070,163350
" ","65-69 Years",130080,139460
" ","70-74 Years",108560,116020
" ","75-79 Years",84420,93240
" ","80-84 Years",51680,62040
" ","85-89 Years",25900,35630
" ","Under 15 Years",499400,474300
" ","Under 16 Years",535500,508200
" ","Under 18 Years",604900,574200
" ","Under 20 Years",670500,636100
" ","15-39 Years",927900,893600
" ","15-49 Years",1256300,1222400
" ","15-59 Years",1575900,1558600
" ","40-64 Years",800100,828300
" ","15-64 Years",1728000,1721900
" ","15 Years and Over",2141000,2190900
" ","16 Years and Over",2104900,2157000
" ","18 Years and Over",2035500,2091000
" ","20 Years and Over",1969900,2029000
" ","90-94 Years",9750,16550
" ","60 Years and Over",565000,632300
" ","65 Years and Over",412900,468900
" ","75 Years and Over",174300,213400
" ","80 Years and Over",89900,120200
" ","85 Years and Over",38200,58200
" ","90 Years and Over",12310,22530
" ","95 Years and Over",2560,5980
" ","Median Age (Years)",37.1,39.0
" ","Total All Ages",2640400,2665200
"Table information:"
"Units:"
"0 Years: Number, Magnitude = Units"
"1 Years: Number, Magnitude = Units"
"2 Years: Number, Magnitude = Units"
"3 Years: Number, Magnitude = Units"
"4 Years: Number, Magnitude = Units"
"5 Years: Number, Magnitude = Units"
"6 Years: Number, Magnitude = Units"
"7 Years: Number, Magnitude = Units"
"8 Years: Number, Magnitude = Units"
"9 Years: Number, Magnitude = Units"
"10 Years: Number, Magnitude = Units"
"11 Years: Number, Magnitude = Units"
"12 Years: Number, Magnitude = Units"
"13 Years: Number, Magnitude = Units"
"14 Years: Number, Magnitude = Units"
"15 Years: Number, Magnitude = Units"
"16 Years: Number, Magnitude = Units"
"17 Years: Number, Magnitude = Units"
"18 Years: Number, Magnitude = Units"
"19 Years: Number, Magnitude = Units"
"20 Years: Number, Magnitude = Units"
"21 Years: Number, Magnitude = Units"
"22 Years: Number, Magnitude = Units"
"23 Years: Number, Magnitude = Units"
"24 Years: Number, Magnitude = Units"
"25 Years: Number, Magnitude = Units"
"26 Years: Number, Magnitude = Units"
"27 Years: Number, Magnitude = Units"
"28 Years: Number, Magnitude = Units"
"29 Years: Number, Magnitude = Units"
"30 Years: Number, Magnitude = Units"
"31 Years: Number, Magnitude = Units"
"32 Years: Number, Magnitude = Units"
"33 Years: Number, Magnitude = Units"
"34 Years: Number, Magnitude = Units"
"35 Years: Number, Magnitude = Units"
"36 Years: Number, Magnitude = Units"
"37 Years: Number, Magnitude = Units"
"38 Years: Number, Magnitude = Units"
"39 Years: Number, Magnitude = Units"
"40 Years: Number, Magnitude = Units"
"41 Years: Number, Magnitude = Units"
"42 Years: Number, Magnitude = Units"
"43 Years: Number, Magnitude = Units"
"44 Years: Number, Magnitude = Units"
"45 Years: Number, Magnitude = Units"
"46 Years: Number, Magnitude = Units"
"47 Years: Number, Magnitude = Units"
"48 Years: Number, Magnitude = Units"
"49 Years: Number, Magnitude = Units"
"50 Years: Number, Magnitude = Units"
"51 Years: Number, Magnitude = Units"
"52 Years: Number, Magnitude = Units"
"53 Years: Number, Magnitude = Units"
"54 Years: Number, Magnitude = Units"
"55 Years: Number, Magnitude = Units"
"56 Years: Number, Magnitude = Units"
"57 Years: Number, Magnitude = Units"
"58 Years: Number, Magnitude = Units"
"59 Years: Number, Magnitude = Units"
"60 Years: Number, Magnitude = Units"
"61 Years: Number, Magnitude = Units"
"62 Years: Number, Magnitude = Units"
"63 Years: Number, Magnitude = Units"
"64 Years: Number, Magnitude = Units"
"65 Years: Number, Magnitude = Units"
"66 Years: Number, Magnitude = Units"
"67 Years: Number, Magnitude = Units"
"68 Years: Number, Magnitude = Units"
"69 Years: Number, Magnitude = Units"
"70 Years: Number, Magnitude = Units"
"71 Years: Number, Magnitude = Units"
"72 Years: Number, Magnitude = Units"
"73 Years: Number, Magnitude = Units"
"74 Years: Number, Magnitude = Units"
"75 Years: Number, Magnitude = Units"
"76 Years: Number, Magnitude = Units"
"77 Years: Number, Magnitude = Units"
"78 Years: Number, Magnitude = Units"
"79 Years: Number, Magnitude = Units"
"80 Years: Number, Magnitude = Units"
"81 Years: Number, Magnitude = Units"
"82 Years: Number, Magnitude = Units"
"83 Years: Number, Magnitude = Units"
"84 Years: Number, Magnitude = Units"
"85 Years: Number, Magnitude = Units"
"86 Years: Number, Magnitude = Units"
"87 Years: Number, Magnitude = Units"
"88 Years: Number, Magnitude = Units"
"89 Years: Number, Magnitude = Units"
"90 Years: Number, Magnitude = Units"
"91 Years: Number, Magnitude = Units"
"92 Years: Number, Magnitude = Units"
"93 Years: Number, Magnitude = Units"
"94 Years: Number, Magnitude = Units"
"0-4 Years: Number, Magnitude = Units"
"5-9 Years: Number, Magnitude = Units"
"10-14 Years: Number, Magnitude = Units"
"15-19 Years: Number, Magnitude = Units"
"20-24 Years: Number, Magnitude = Units"
"25-29 Years: Number, Magnitude = Units"
"30-34 Years: Number, Magnitude = Units"
"35-39 Years: Number, Magnitude = Units"
"40-44 Years: Number, Magnitude = Units"
"45-49 Years: Number, Magnitude = Units"
"50-54 Years: Number, Magnitude = Units"
"55-59 Years: Number, Magnitude = Units"
"60-64 Years: Number, Magnitude = Units"
"65-69 Years: Number, Magnitude = Units"
"70-74 Years: Number, Magnitude = Units"
"75-79 Years: Number, Magnitude = Units"
"80-84 Years: Number, Magnitude = Units"
"85-89 Years: Number, Magnitude = Units"
"Under 15 Years: Number, Magnitude = Units"
"Under 16 Years: Number, Magnitude = Units"
"Under 18 Years: Number, Magnitude = Units"
"Under 20 Years: Number, Magnitude = Units"
"15-39 Years: Number, Magnitude = Units"
"15-49 Years: Number, Magnitude = Units"
"15-59 Years: Number, Magnitude = Units"
"40-64 Years: Number, Magnitude = Units"
"15-64 Years: Number, Magnitude = Units"
"15 Years and Over: Number, Magnitude = Units"
"16 Years and Over: Number, Magnitude = Units"
"18 Years and Over: Number, Magnitude = Units"
"20 Years and Over: Number, Magnitude = Units"
"90-94 Years: Number, Magnitude = Units"
"60 Years and Over: Number, Magnitude = Units"
"65 Years and Over: Number, Magnitude = Units"
"75 Years and Over: Number, Magnitude = Units"
"80 Years and Over: Number, Magnitude = Units"
"85 Years and Over: Number, Magnitude = Units"
"90 Years and Over: Number, Magnitude = Units"
"95 Years and Over: Number, Magnitude = Units"
"Median Age (Years): Year, Magnitude = Units"
"Total All Ages: Number, Magnitude = Units"
""
"Footnotes:"
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration estimates."
"The current population estimates are based on 2018 Census data. The 2023-based estimated resident population will be published following the release of 2023 Census and 2023 Post-enumeration Survey results."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE054AA"
""
"Last updated:"
"0 Years: 16 February 2024 10:45am"
"1 Years: 16 February 2024 10:45am"
"2 Years: 16 February 2024 10:45am"
"3 Years: 16 February 2024 10:45am"
"4 Years: 16 February 2024 10:45am"
"5 Years: 16 February 2024 10:45am"
"6 Years: 16 February 2024 10:45am"
"7 Years: 16 February 2024 10:45am"
"8 Years: 16 February 2024 10:45am"
"9 Years: 16 February 2024 10:45am"
"10 Years: 16 February 2024 10:45am"
"11 Years: 16 February 2024 10:45am"
